"id","title","streetaddress","city","state","address","zip_code","phone","warranty","contact","business_description","senior_discount","excluded_service","service","website","service_area","office_hour","licensed","city_served"
"1","Alabama Green Burials","21927 Highway 280","Dadeville","AL","Dadeville AL, 36853","36853","(256) 825-0038",,"Pritchard, Carl","We want to help those who feel that a natural burial is a viable option for honoring the dead, healing the living, and inviting in the divine. We want to use burial as a means of acquiring, restoring, and stewarding natural areas. We want to help families","No",,"Funeral Homes","http://www.alabamagreenburial.com","Alabama","Mon 08:00 AM - 05:00 PM, Tue 08:00 AM - 05:00 PM, Wed 08:00 AM - 05:00 PM, Thu 08:00 AM - 05:00 PM, Fri 08:00 AM - 05:00 PM .","Yes, I am appropriately licensed for my trade","National"
"2","HOLMAN-ABBEVILLE MORTUARY","434 OZARK RD","Abbeville","AL","Abbeville AL, 36310","36310","(334) 585-5261",,,,,,"Funeral Homes",,,,"UNKNOWN",
"3","STANFORD & SONS FUNERAL HOME","431 US HIGHWAY 431 S","Abbeville","AL","Abbeville AL, 36310","36310","(334) 585-5344",,,,,,"Funeral Homes",,,,"UNKNOWN",
"4","Sunset Memorial Park Funeral Home & Crematory LLC","1700 Barrington Rd","Midland City","AL","Midland City AL, 36350","36350","(334) 983-6604","FALSE","Byrd, Robert","Family owned & operated.",,,"Funeral Homes","http://www.sunsetmemorialpark.com","Serving all residents of the Wiregrass Area.","Mon 08.00 AM - 06.00 PM, Tue 08.00 AM - 06.00 PM, Wed 08.00 AM - 06.00 PM, Thu 08.00 AM - 06.00 PM, Fri 08.00 AM - 06.00 PM, By Appointment","Yes, I am appropriately licensed for my trade","Abbeville | Ariton | Ashford | Battens Crossroads | Bellwood | Bertha - Dale | Bertha - Henry | Black | Chancellor | Chestnut Grove | Clayhatchee | Clopton | Coffee Springs | Columbia | Cottonwood | Cowarts | Daleville | Dothan | Echo | Elba | Enterprise "
"5","CRESTVIEW MEMORIAL FUNERAL","5250 VETERANS MEMORIAL DR","Adamsville","AL","Adamsville AL, 35005","35005","(205) 674-1616",,,,,,"Funeral Homes",,,,"UNKNOWN",
"6","Southern Carpet Care","PO Box 582","Dauphin Island","AL","Dauphin Island AL, 36528","36528","(205) 833-7887","ASK FOR DETAILS","Ledlow, BOB","Additional contact Vickie. 8 employees. Do not use subs. Cost determined by job. Travel charge of $50.00. Ask about Angie's list discount.

Alternate Phone Number: 
251.661.8777","NO","Carpet Repairs","Carpet Cleaners, Funeral Homes, Upholstery Cleaning, Water Damage Restoration","http://www.southerncarpetcare.com","All of Jefferson County, Saint Clair & Shelby County","Mon 08.00 AM - 11.30 PM, Tue 08.00 AM - 11.30 PM, Wed 08.00 AM - 11.30 PM, Thu 08.00 AM - 11.30 PM, Fri 08.00 AM - 11.30 PM, Sat 08.00 AM - 11.30 PM, Sun 08.00 AM - 11.30 PM","Yes, I am appropriately licensed for my trade","Adamsville | Adger | Alabaster | Axis | Bayou La Batre | Bel Air | Bessemer | Birmingham - Downtown | Blount County | Bluff Park East | Bluff Park West | Cahaba Heights | Center Point | Chelsea | Chickasaw | Chunchula | Citronelle | Coden | Cottage Hill |"
"7","NICHOLS FUNERAL HOME","32657 HIGHWAY 278","Addison","AL","Addison AL, 35540","35540","(256) 747-6063",,,,,,"Funeral Homes",,,,"UNKNOWN",
"8","HOLLAND MEMORIAL CHAPEL","1926 Tahiti Ln","Alabaster","AL","Alabaster AL, 35007","35007","(256) 355-0150",,,,,,"Funeral Homes",,,,"UNKNOWN",
"9","ADAMS BROWN-SVC FUNERAL HOME","6906 US HIGHWAY 431","Albertville","AL","Albertville AL, 35950","35950","(256) 878-0231",,,,,,"Funeral Homes",,,,"UNKNOWN",
"10","MARSHALL MEMORIAL FUNERAL HOME","3368 AL HIGHWAY 205 N","Albertville","AL","Albertville AL, 35950","35950","(256) 878-1236",,,,,,"Funeral Homes",,,,"UNKNOWN",
