"id","recipe_id","ingredient","amount","measurement"
"1","1","Shrimp","10","oz"
"2","1","Spaghetti","6","oz"
"3","1","Garlic","3","cloves"
"4","1","Meyer Lemon","1",NULL
"5","1","Broccoli","1/2","lb"
"6","1","Butter","2","tbsp"
"7","1","Quark","2","tbsp"
"8","1","Crushed Red Pepper Flakes","1/4","tsp"
"9","2","Egg Noodles","6","oz"
"10","2","Fontina Cheese","3","oz"
"11","2","Sunchokes","4","oz"
"12","2","Whole Mile","3/4","cup"
"13","2","Kale","1","bunch"
"14","2","All-Purpose Flour","3","tbsp"
"15","2","Butter","2","tbsp"
"16","2","Shallot","1",NULL
"17","2","Casserole Spice Blend","1","tbsp"
"18","3","Cod Fillets","2",NULL
"19","3","Jasmine Rice","3/4","cup"
"20","3","Carrots","2","NULL"
"21","3","Radishes","3","NULL"
"22","3","Scallions","2","NULL"
"23","3","Garlic","2","cloves"
"24","3","Baby Kale","1","oz"
"25","3","Tempura Mix","1/4","cup"
"26","3","Rice Vinegar","2","tbsp"
"27","3","Golden Mountain Sauce","2","tbsp"
"28","3","Sambal Oelek","1","tbsp"
"29","3","Tamarind Concentrate","1","tbsp"
"75","48","Verjus Rouge","2","tbsp"
"74","48","Capers","1","tbsp"
"76","48","Crushed Red Pepper Flakes","1/4","tsp"
"36","39","Ground Lamb & Beef Blend","10","oz"
"37","39","Cremini Mushrooms","4","oz"
"38","39","Scallions","2",NULL
"39","39","Russet Potatoes","1","lb"
"40","39","Celery","1","stalk"
"41","39","Chives","1","bunch"
"42","39","Grated Parmesan Cheese","2","tbsp"
"43","39","Tomato Paste","2","tbsp"
"44","39","Soy Glaze","1","tbsp"
"45","39","Lamb & Beef Spice Blend","1","tbsp"
"46","40","Boneless, Center-Cut Pork Chops","2",NULL
"47","40","Cracked Freekah","1/2","Cup"
"48","40","Clementine","1",NULL
"49","40","Brussels Sprouts","1/2","lb"
"50","40","Piece Ginger","1","1-inch"
"51","40","Shallot","1",NULL
"52","40","Apple Cider Vinegar","1","tbsp"
"53","40","Sugar","1","tbsp"
"71","48","Pearl Couscous","1","cup"
"70","48","Boneless, Skinless Chicken Breasts","2",NULL
"64","47","butter","1","cup"
"73","48","Blood Orange","1",NULL
"72","48","Broccoli","1/2","lb"
"77","48","Shallot","1",NULL
"78","49","Boneless, Skinless Chicken Breasts","2",NULL
"79","49","Wooden Skewers","8",NULL
"80","49","Semi-Pearled Khorasan Wheat","3","oz"
"81","49","Garlic","2","Cloves"
"82","49","Persimmon","1",NULL
"83","49","Kale","1/2","bunch"
"84","49","Red Wine Vinegar","2","tbsp"
"85","49","Red Harissa Paste","1","tbsp"
"86","49","Labneh Cheese","1/4","cup"
"87","50","Shrimp","10","oz"
"88","50","Bucatini Pasta","1/2","lb"
"89","50","Garlic","3","Cloves"
"90","50","Scallions","2",NULL
"91","50","Kale","1","bunch"
"92","50","Lemon","1",NULL
"93","50","Butter","2","tbsp"
"94","50","Crushed Red Pepper Flakes","1/4","tsp"
"95","51","Fettuccine Pasta","6","oz"
"96","51","Cremini Mushrooms","4","oz"
"97","51","Garlic","2","Cloves"
"98","51","Hakurei Turnips","2",NULL
"99","51","Fennel Bulb","1",NULL
"100","51","Parsley","l","bunch"
"101","51","Butter","2","tbsp"
"102","51","Mascarpone Cheese","2","tbsp"
"103","51","Shallot","1",NULL
"104","52","Catfish Fillets","2",NULL
"105","52","Jasmine Rice","1/2","cup"
